Comment,Comment ID,Replies Count,Like Count,Updated At
"79M views in 22hrs

Jennie to haters: with a smile on my face I'll KISS you goodbye!!!

Edited: (1)
86.3M views in 24hrs
CONGRATULATIONS EVERYONE!!!
CONGRATULATIONS BLACKPINK!!!

*Thank you guys
*SPREAD LOVE NOT HATE!
Keep safe y'all!!!

Edited: (2)
200M views in just a week!! HORAAYYYY!! Congratulations again!!!!",UgxtLuDvgd7aAY8OJel4AaABAg,292,19777,2020-07-03T12:27:08Z
wtf is happening with bts' and this queen's mv? it literally has the same comment in every each person,Ugxh-j6LKZki7OsuX1B4AaABAg,342,19184,2020-06-26T15:46:34Z
the more I see this the more I am addicted to this mv,Ugx1G3eHVdGMN2kcqi54AaABAg,229,19028,2020-06-26T15:46:40Z
why are y’all commenting that stuff? blackpink hasn’t had a song in like 1 year i think we should just vibe and be happy for them because it’s really a bop,UgyNCH8mQzbsOC8ZF-54AaABAg,275,18542,2020-06-27T08:26:33Z
"For new blinks who don't know,
Blue Girl - Rosé Queen
Brown Girl - Jisoo Queen
Blonde Girl - Jennie Queen
Black/pink Girl - Lisa Queen.
Hope this helps u.",Ugw7HEji0j-jn6X_MQV4AaABAg,241,18535,2020-06-28T15:16:15Z
"I like how Blackpink’s ‘How You Like That’ comment section has already been memed.

Edit: Sorry I didn’t realize that It was actually hate comments and not just people meming. I’m used to other content creators where their fans just do that for a joke reference or something else related. Can’t believe people are commenting it to maliciously freeze the vi3ws.",UgztNaFOAl_7MiFWNtB4AaABAg,158,18212,2020-06-26T16:02:34Z
Next song i need Jisoo to get line ''BLACKPINK IN YOUR AREAAAAA'',Ugwb3lNoAjcPiRnFuxh4AaABAg,260,18069,2020-06-26T11:45:43Z
I’m still waiting for Jisoo’s “blackpink in your area”,UgyO3ZoQHNVMgGwL1K14AaABAg,262,17665,2020-06-26T09:10:21Z
Im a ReVeluv here to support BLACKPINK! Lets go we can do it!!,UgwUHh8gjv-OPB_kfH94AaABAg,492,17527,2020-06-27T07:44:27Z
Jisoo is cool and her singing is amazing,UgxroU5qkM90DHk_ihJ4AaABAg,181,17305,2020-06-30T14:41:07Z
"Blinks we did it, now 80M",UgzlRYGROHzHq2IjHnp4AaABAg,190,17232,2020-06-27T06:30:59Z
"this is Jisoo's Era and no one can say anything.

I feel famous. omg.",UgxufLUG9MDdpnWHcgx4AaABAg,441,17114,2020-07-04T19:08:38Z
"Stop. Don't be so stupid.  They are friends, then why do we have problems?",UgyxNX8Dt9QIUZ2uEEx4AaABAg,355,16995,2020-06-26T15:47:28Z
"KTL: getting out of toxic relationship
HYLT: realizing your worth and getting over",UgwTEvIkmRFSG3lnlit4AaABAg,106,16884,2020-06-26T13:02:02Z
"GUYS PLEASE STOP COMMENTS ""no one literally no one"" I'M SICK OF SEEING IT OMG!-_-",UgyQ3sM3-lrr7k0QsuN4AaABAg,205,16876,2020-06-26T15:47:03Z
"The sad thing is, there's no funny comment to like with",Ugypw3hfn70-cDWIIgp4AaABAg,94,16558,2020-06-26T11:47:44Z
"And now we have an iconic line, which is gonna be stuck in my head for a long time..
""Look at you now look at me""",UgwRLx9Dj-Ch5KywO1N4AaABAg,107,16372,2020-06-26T16:43:45Z
"Smh these haters are just gonna help us break the record for comments

Edit: I just want to say thank you to BLACKPINK for giving us such an amazing comeback, we really appreciate and love you so much <3 cant wait for the album !",UgzlaoJbh7K04Nv_mLx4AaABAg,352,16313,2020-06-26T17:58:00Z
Im so sad jisoo didn’t say “Blackpink in your area” but nonetheless this song is a bop,Ugy1iF_TFLOFVGH8dFV4AaABAg,181,16289,2020-06-26T15:35:08Z
"I am: I've seen everything in life!!!

BLACKPINK: How you like that?",UgyRKMyKPJPFo5M6HFh4AaABAg,67,16014,2020-06-26T15:47:09Z
"Lisa- FIRE
Jennie- FAB
Rose- FIERCE
Jisoo- FANCY",Ugxrhr5b9I75r2tdYrB4AaABAg,103,15886,2020-06-26T15:46:54Z
Anyone else just staring at the fact that they all keep glowing up and I haven’t had one!??!!!,UgwgY8t978drIc7xXTF4AaABAg,121,15853,2020-06-26T11:45:13Z
"Although we didn't get a Lisa Dance Break we got a group dance break and that was so powerful to me.We also got Jisoo Visuals killing us the whole time and we got Rose with the Vocals,and we got Jennie just slaying!",UgzgUcZhoDOB8xrp2ht4AaABAg,212,15848,2020-06-26T15:47:53Z
"""Laugh all you want while you still can"" because one day you will be mute with the hatred you have  ;)

It's for the haters ^>^",Ugx7mwV30igQbbqRv_l4AaABAg,159,15792,2020-06-26T16:14:38Z
"Even though everybody's hatin' on YGent, I'm still thanking them for debuting these angels and for the YG entertainment as a whole (including the Pinks ofc) for their hard work until now to make us entertained.
Edit: thx for the likes tho🥰",UgzzuGMWdrWVhT218a54AaABAg,189,15731,2020-07-02T15:24:37Z
"Pls stop commenting about ""no one literally no one"" it's annoying just focus on mv cause this mv really amazing as we knows :))",UgwIrJqnHRCRWKJ2zGZ4AaABAg,153,14638,2020-06-26T11:47:15Z
Youtube hear me they just pretending to be bots to freeze the views,UgxeU3IIXl9HGemoSu14AaABAg,105,14501,2020-06-30T02:01:31Z
"people : ""no one, literally no one""
blackpink : how you like that
blinks! Let's give likes to creative comments don't give them likes.",UgwHVse7WTMq_OyVK5N4AaABAg,217,13838,2020-06-26T15:46:54Z
"Haters gonna hate, but we still sippin’ tea for the vi3ws, whoops

For all the army who got affected by this, ya’ll be showin’ yourself as a clown. I mean, I didn’t even said anything about bts, and ya’ll commin’ on to me like you’re affected.",UgxpuDu0iJYNVzosIQp4AaABAg,457,13811,2020-06-27T03:50:14Z
Can we talk about Jisoo’s dance? She has improved a lot!,Ugykf3j1GlMHIO504rZ4AaABAg,144,13581,2020-06-26T19:44:16Z
"•Special thing about this comeback•
°lisa raps was perfect as always♡
°jisoo own whole mv♡
°rose is killing everyone with her vocal♡
°jennie look too beautiful in this look♡

This is perfect!!!♡
( *The*  *comment* *ur* *finding* )",Ugxz-0kOWTWXdGITphh4AaABAg,139,13503,2020-06-26T13:56:18Z
"Why is no one talking about the mv??

We got them trending good job blinks let's continue helping our queens rise higher and show the hater that they're wrong",UgzwT9xEadJNIlA5-2h4AaABAg,163,13320,2020-06-26T16:26:08Z
"Dear Blinks,
I'm truly sorry on the behalf of the anti's that are commenting on this video. In my perspective, I think that haters/anti's are just trying to spam continuously on both Stay Gold and How You Like That M/V's to make us think that us fandoms are the ones behind it. As a true Army, We never even planned on sabotaging your goals and still respected you guys and BP. So please, dont blame this on us and just report them.  But I saw some part of your fandom thinking that we are the one's behind this and started commenting the same thing to get ""revenge"", and I really don't think that's acceptable and it's just making your fandom's reputation go down. All i'm asking is to just realize that neither of us are a part of this and that it's the haters fault who started this whole chaos, thank you.
From, Army

+No fanwars please :(
+And no, i'm not saying that the ""toxic one's"" are Armies, but K-pop Haters I hope you understand..
+Don't post a link to your video please my comment is not a promotion market :v",UgyLOESoRfrKCkK2cg54AaABAg,471,13161,2020-06-27T13:53:32Z
lemme check how many blinks are still streaming here!. Likeeeee this,UgwWeOMPLOVx5hvz_AV4AaABAg,161,13081,2020-06-26T15:47:40Z
LET'S MAKE IT 100M IN ONE DAYY GUYSSS!!!,UgzmtUMqjCW7lOeK7RJ4AaABAg,402,13055,2020-06-26T15:46:42Z
"Stop with these ""No one: Literally no one: Everyone:..."" repetitive comments its annoying stop
-----
Now that that's over, DID YOU SEE THE DAMN VISUALS!!!",Ugxc1TCVW-Mk7tjO6cF4AaABAg,204,13054,2020-07-03T20:12:25Z
This is just a pre released single omg the slayage,UgxWl02gySvX2-WR9qN4AaABAg,74,12939,2020-06-26T11:46:49Z
